total_tokens,esg_signal_count,g_signal_count,bp_count,esg_signal_ratio,g_signal_ratio,bp_contamination_rate,esg_g_relative,stock_code,fiscal_year,rcept_no,n_tokens,esg_tfidf_concentration
2159,7,31,0,0.0032,0.0144,0.0,1.0,000950,2022,20230315001304.0,2159,0.0
2121,6,31,0,0.0028,0.0146,0.0,1.0,000950,2023,20240314001271.0,2121,0.0054
1680,7,32,0,0.0042,0.019,0.0,1.0,000950,2024,20250320000970.0,1680,0.0211
1846,2,46,0,0.0011,0.0249,0.0,1.0,000970,2022,20230316000941.0,1844,0.0397
1825,2,46,0,0.0011,0.0252,0.0,1.0,000970,2023,20240321000781.0,1823,0.0397
2013,1,65,0,0.0005,0.0323,0.0,1.0,000970,2024,20250320000304.0,2011,0.0526
2207,14,76,0,0.0063,0.0344,0.0,1.0,000990,2022,20230321001125.0,2207,0.0413
2337,10,76,0,0.0043,0.0325,0.0,1.0,000990,2023,20240320002017.0,2337,0.0408
2508,9,83,0,0.0036,0.0331,0.0,1.0,000990,2024,20250312001130.0,2508,0.0425
1731,0,31,0,0.0,0.0179,0.0,1.0,001020,2022,20230323001248.0,1731,0.0152
1608,0,34,0,0.0,0.0211,0.0,1.0,001020,2023,20240321001475.0,1608,0.0283
1517,0,31,0,0.0,0.0204,0.0,1.0,001020,2024,20250320001403.0,1517,0.0163
20583,101,130,0,0.0049,0.0063,0.0,1.0,001040,2022,20230321001305.0,20582,0.0
23929,101,118,0,0.0042,0.0049,0.0,1.0,001040,2023,20240320001996,23928,0.0
22719,94,146,0,0.0041,0.0064,0.0,1.0,001040,2024,20250318001349,22719,0.0
3113,1,24,0,0.0003,0.0077,0.0,1.0,001060,2022,20230321001149.0,3108,0.0
2980,2,33,0,0.0007,0.0111,0.0,1.0,001060,2023,20240318000800.0,2975,0.0
1610,1,34,0,0.0006,0.0211,0.0,1.0,001060,2024,20250318001192.0,1608,0.0146
1725,6,62,0,0.0035,0.0359,0.0,1.0,001070,2022,20230316001199.0,1725,0.0565
1498,0,59,0,0.0,0.0394,0.0,1.0,001070,2023,20240314001520.0,1498,0.0607
1360,0,57,0,0.0,0.0419,0.0,1.0,001070,2024,20250313001407.0,1360,0.0625
1322,14,39,0,0.0106,0.0295,0.0,1.0,001080,2022,20231005000147.0,1322,0.0336
1189,15,42,0,0.0126,0.0353,0.0,1.0,001080,2023,20240920000456.0,1189,0.057
1315,14,44,0,0.0106,0.0335,0.0,1.0,001080,2024,20250918000297.0,1315,0.0353
6133,8,140,0,0.0013,0.0228,0.0,1.0,001120,2022,20230315000850.0,6132,0.0177
6496,14,133,0,0.0022,0.0205,0.0,1.0,001120,2023,20240320000868.0,6495,0.0152
6101,14,117,0,0.0023,0.0192,0.0,1.0,001120,2024,20250320000626.0,6100,0.0063
2550,6,48,0,0.0024,0.0188,0.0,1.0,001130,2022,20230316001412,2550,0.018
2507,6,48,0,0.0024,0.0191,0.0,1.0,001130,2023,20240314001452,2507,0.0185
2554,5,49,0,0.002,0.0192,0.0,1.0,001130,2024,20250313001408,2554,0.0189
2232,5,67,0,0.0022,0.03,0.0,1.0,001140,2022,20230321001053,2232,0.0334
