total_tokens,esg_signal_count,g_signal_count,bp_count,esg_signal_ratio,g_signal_ratio,bp_contamination_rate,esg_g_relative,stock_code,fiscal_year,rcept_no,n_tokens,esg_tfidf_concentration,esg_year,company_name,industry,esg_grade,e_grade,s_grade,g_grade,kcgs_grade_7,kcgs_grade_4
4094,23,81,0,0.0056,0.0198,0.0,1.0,000180,2023,20240318000483.0,4094,0.0134,2023,성창기업지주,,D,D,D,C,1,1
4171,39,77,0,0.0094,0.0185,0.0,1.0,000180,2024,20250317000553.0,4171,0.0094,2024,성창기업지주,,D,C,D,D,1,1
10264,112,108,0,0.0109,0.0105,0.0,1.0,000210,2022,20230317000003.0,10264,0.0,2022,DL,,A,A,A+,A,5,4
10959,129,111,0,0.0118,0.0101,0.0,1.0,000210,2023,20240314001785.0,10959,0.0,2023,DL,,A,A,A,A,5,4
10771,130,109,0,0.0121,0.0101,0.0,1.0,000210,2024,20250317000751.0,10771,0.0,2024,DL,,A,A,A+,A,5,4
1578,4,50,0,0.0025,0.0317,0.0,1.0,000220,2022,20230322001027.0,1578,0.0375,2022,유유제약,,C,D,B,D,2,1
1790,4,51,0,0.0022,0.0285,0.0,1.0,000220,2023,20240320001162.0,1790,0.0297,2023,유유제약,,D,D,C,D,1,1
1690,4,41,0,0.0024,0.0243,0.0,1.0,000220,2024,20250319000817.0,1690,0.0236,2024,유유제약,,C,D,C,C,2,1
5971,6,57,0,0.001,0.0095,0.0,1.0,000230,2022,20230316001183.0,5967,0.0,2022,일동홀딩스,,B+,C,A+,B+,4,3
6377,6,59,0,0.0009,0.0093,0.0,1.0,000230,2023,20240314001097.0,6372,0.0,2023,일동홀딩스,,A,B+,A+,B+,5,4
4358,3,65,0,0.0007,0.0149,0.0,1.0,000230,2024,20250318001009.0,4357,0.0064,2024,일동홀딩스,,B+,A,A,B+,4,3
2161,9,123,0,0.0042,0.0569,0.0,1.0,000240,2022,20230324001090.0,2161,0.0732,2022,한국앤컴퍼니,,B,C,B,B+,3,2
2277,9,118,0,0.004,0.0518,0.0,1.0,000240,2023,20240320001601.0,2277,0.0756,2023,한국앤컴퍼니,,B+,B+,A,B+,4,3
