stock_code,fiscal_year,section_chars_II,section_chars_IV,section_chars_VI,total_chars,rcept_no
001460,2024,5257,2311,2323,9895,20250320001026
001470,2022,12238,7024,1511,20777,20230322001271
001470,2023,10735,7229,1561,19529,20240408002608
001470,2024,10812,6809,1463,19088,20250407003073
001500,2022,3686,7941,3205,14836,20230315000803
001500,2023,3643,7221,3173,14041,20240313001172
001500,2024,3608,6665,3191,13468,20250319001001
001510,2022,8203,8006,3461,19674,20230323001329
001510,2023,7643,7796,3597,19040,20240315000894
001510,2024,7253,7757,3075,18089,20250319001113
001520,2022,12640,5120,2330,20094,20230321001187
001520,2023,12426,4831,2254,19515,20240320001400
001520,2024,12552,4416,2469,19441,20250318000948
001530,2022,9302,2306,1838,13450,20230316001325
001530,2023,9574,2454,1651,13683,20240314001589
001530,2024,8086,2129,1804,12023,20250320001320
001560,2022,4021,2699,2701,9425,20230321000389
001560,2023,4129,4399,2554,11086,20240321000824
001560,2024,3292,3217,2768,9281,20250317000206
001630,2022,44134,10148,1706,55992,20230314001191
001630,2023,51348,11037,2415,64804,20240320001873
001630,2024,51682,9464,3301,64451,20250318001235
001680,2022,21816,9852,2760,34432,20230316001258
001680,2023,22766,10682,3570,37022,20240314001698
001680,2024,21725,6604,2740,31073,20250319001095
001720,2022,10660,2506,3445,16615,20230615000542
001720,2023,11750,3012,3512,18278,20240612000337
001720,2024,12354,2919,3444,18721,20250612000448
001740,2022,28242,9362,2203,39811,20230321001119
001740,2023,25791,14879,2716,43390,20240319000871
001740,2024,23541,12295,3608,39448,20250318000975
001800,2022,14646,20718,2584,37952,20230315001148
001800,2023,16058,22386,2647,41095,20240313000499
001800,2024,16261,20192,3614,40071,20250318000980
002030,2022,38080,7481,3525,49090,20230315001365
002030,2023,42890,8256,3421,54571,20240313001757
002030,2024,42191,8534,3668,54397,20250312000788
002320,2022,9602,3949,2201,15756,20230315001412
002320,2023,9149,3427,2337,14917,20240312000974
002320,2024,9127,3836,1807,14774,20250317000904
