stock_code,fiscal_year,esg_year,company_name,industry,esg_grade,e_grade,s_grade,g_grade,universe,in_corp_code,in_collected_reports,in_sections_extracted,in_firm_year_documents,in_features_expF,in_merged_expF,status,sub_status,reason,source_pipeline,recovery_method
000150,2023,2023,두산,,B+,A,A+,B,memberA_127x3,True,True,True,True,False,False,SUCCESS,,,memberC_native,none_needed
000150,2024,2024,두산,,A,A,A+,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000180,2022,2022,성창기업지주,,D,D,D,D,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000180,2023,2023,성창기업지주,,D,D,D,C,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000180,2024,2024,성창기업지주,,D,C,D,D,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000210,2022,2022,DL,,A,A,A+,A,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000210,2023,2023,DL,,A,A,A,A,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000210,2024,2024,DL,,A,A,A+,A,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000220,2022,2022,유유제약,,C,D,B,D,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000220,2023,2023,유유제약,,D,D,C,D,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000220,2024,2024,유유제약,,C,D,C,C,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000230,2022,2022,일동홀딩스,,B+,C,A+,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000230,2023,2023,일동홀딩스,,A,B+,A+,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000230,2024,2024,일동홀딩스,,B+,A,A,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000240,2022,2022,한국앤컴퍼니,,B,C,B,B+,memberA_127x3,True,True,True,True,False,False,SUCCESS,,,memberC_native,none_needed
000240,2023,2023,한국앤컴퍼니,,B+,B+,A,B+,memberA_127x3,True,True,True,True,False,False,SUCCESS,,,memberC_native,none_needed
000240,2024,2024,한국앤컴퍼니,,B,B+,A,C,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000250,2022,2022,삼천당제약,,D,D,D,C,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000250,2023,2023,삼천당제약,,D,D,D,D,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000250,2024,2024,삼천당제약,,D,C,D,D,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000270,2022,2022,기아,,B+,A,A,B,memberA_127x3,True,True,True,False,False,False,FAILED_NO_PASSAGES,,no firm_year_document,memberC_native_partial,reprocess_existing_zip
000270,2023,2023,기아,,B,A,A+,C,memberA_127x3,True,True,True,True,False,False,SUCCESS,,,memberC_native,none_needed
000270,2024,2024,기아,,A,A+,A+,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000320,2022,2022,노루홀딩스,,A,B+,A+,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000320,2023,2023,노루홀딩스,,A,A,A+,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000320,2024,2024,노루홀딩스,,A,A,A+,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000370,2022,2022,한화손해보험,,A,A,A,A,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000370,2023,2023,한화손해보험,,A,A,A,A,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000370,2024,2024,한화손해보험,,A,A,A+,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000390,2022,2022,삼화페인트공업,,B,C,B+,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000390,2023,2023,삼화페인트공업,,B+,B+,A,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000390,2024,2024,삼화페인트공업,,B+,B+,B+,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000400,2022,2022,롯데손해보험,,B+,B,B+,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000400,2023,2023,롯데손해보험,,B+,B,B+,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000400,2024,2024,롯데손해보험,,B+,C,A,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000430,2022,2022,대원강업,,C,C,D,C,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000430,2023,2023,대원강업,,C,B,B+,C,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000430,2024,2024,대원강업,,B+,B+,A,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000480,2022,2022,조선내화,,D,C,C,D,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000480,2023,2023,시알홀딩스,,D,C,D,D,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000480,2024,2024,시알홀딩스,,C,C,B,C,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000490,2022,2022,대동,,D,C,C,D,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000490,2023,2023,대동,,C,B,A,D,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000490,2024,2024,대동,,B+,B+,A+,B,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000500,2022,2022,가온전선,,B,C,B+,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000500,2023,2023,가온전선,,B+,B+,A,B,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000500,2024,2024,가온전선,,B,A,A,C,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000520,2022,2022,삼일제약,,D,D,D,C,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000520,2023,2023,삼일제약,,C,D,C,C,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000520,2024,2024,삼일제약,,C,D,C,B,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000540,2022,2022,흥국화재,,B+,C,B+,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000540,2023,2023,흥국화재,,B+,B,B+,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000540,2024,2024,흥국화재,,B+,C,B+,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000590,2022,2022,CS홀딩스,,C,D,D,B,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000590,2023,2023,CS홀딩스,,C,D,D,B,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000590,2024,2024,CS홀딩스,,C,D,D,B,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000640,2022,2022,동아쏘시오홀딩스,,A,B,A,A,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000640,2023,2023,동아쏘시오홀딩스,,A,B+,A+,A,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000640,2024,2024,동아쏘시오홀딩스,,A+,A,A+,A+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000650,2022,2022,천일고속,,D,D,D,D,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000650,2023,2023,천일고속,,D,C,D,D,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000650,2024,2024,천일고속,,D,C,D,D,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000660,2022,2022,SK하이닉스,반도체,B+,B+,A,B+,memberA_127x3,True,True,True,True,False,False,SUCCESS,,,memberC_native,none_needed
000660,2023,2023,SK하이닉스,반도체,A,A,A+,A,memberA_127x3,True,True,True,True,False,False,SUCCESS,,,memberC_native,none_needed
000660,2024,2024,SK하이닉스,반도체,B+,A,A+,B,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000670,2022,2022,영풍,,B,C,B+,B,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000670,2023,2023,영풍,,B+,B+,B+,B,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000670,2024,2024,영풍,,B,C,B,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000680,2022,2022,LS네트웍스,,B,C,B+,B,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000680,2023,2023,LS네트웍스,,B+,B,A,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000680,2024,2024,LS네트웍스,,B+,B,A,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000700,2022,2022,유수홀딩스,,B+,B,B+,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000700,2023,2023,유수홀딩스,,B+,B+,A,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000700,2024,2024,유수홀딩스,,B+,B+,A,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000720,2022,2022,현대건설,,A,A,A,B+,memberA_127x3,True,True,True,True,False,False,SUCCESS,,,memberC_native,none_needed
000720,2023,2023,현대건설,,A,A,A,A,memberA_127x3,True,True,True,True,False,False,SUCCESS,,,memberC_native,none_needed
000720,2024,2024,현대건설,,A,A,A,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000760,2022,2022,이화산업,,D,D,D,D,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000760,2023,2023,이화산업,,C,C,D,C,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000760,2024,2024,이화산업,,D,C,D,D,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000810,2022,2022,삼성화재해상보험,,A,A,A,A,memberA_127x3,True,True,True,True,False,False,SUCCESS,,,memberC_native,none_needed
000810,2023,2023,삼성화재해상보험,,A,A,A+,A,memberA_127x3,True,True,True,True,False,False,SUCCESS,,,memberC_native,none_needed
000810,2024,2024,삼성화재해상보험,,B+,A,A,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000850,2022,2022,화천기공,,D,D,D,C,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000850,2023,2023,화천기공,,C,D,C,C,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000850,2024,2024,화천기공,,C,D,C,C,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000860,2022,2022,강남제비스코,,C,C,B,B,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000860,2023,2023,강남제비스코,,B+,B+,B+,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe
000860,2024,2024,강남제비스코,,B+,A,B+,B+,memberA_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024
000880,2022,2022,한화,,A,A,A+,A,memberA_127x3,True,True,True,False,False,False,FAILED_NO_PASSAGES,,no firm_year_document,memberC_native_partial,reprocess_existing_zip
000880,2023,2023,한화,,B+,B+,B+,B+,memberA_127x3,True,True,True,False,False,False,FAILED_NO_PASSAGES,,no firm_year_document,memberC_native_partial,reprocess_existing_zip
