stock_code,fiscal_year,esg_year,company_name,industry,esg_grade,e_grade,s_grade,g_grade,universe,in_corp_code,in_collected_reports,in_sections_extracted,in_firm_year_documents,in_features_expF,in_merged_expF,status,sub_status,reason,source_pipeline,recovery_method,rcept_no,total_tokens,esg_signal_count,g_signal_count,esg_signal_ratio,g_signal_ratio,esg_tfidf_concentration,esg_g_relative,bp_contamination_rate,kcgs_grade,kcgs_grade_7,kcgs_grade_4
068270,2024,2024,셀트리온,바이오의약품,A,A,A+,A,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024,,,,,,,,,,,,
086790,2022,2022,하나금융지주,금융지주,A,A+,A+,A,hyesung_127x3,True,True,True,True,False,False,SUCCESS,,,jiwoo_native,none_needed,20230316001364.0,12997.0,99.0,583.0,0.0076,0.0449,0.0632,1.0,0.0,A,5.0,3.0
086790,2023,2023,하나금융지주,금융지주,A,A+,A+,A,hyesung_127x3,True,True,True,True,False,False,FAILED_EMPTY_FEATURE,,no feature row exp_F,jiwoo_native_partial,reprocess_existing_zip,,,,,,,,,,,,
086790,2024,2024,하나금융지주,금융지주,A,A+,A+,A,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024,,,,,,,,,,,,
096770,2022,2022,SK이노베이션,에너지/화학,A,B+,A+,A+,hyesung_127x3,True,True,True,True,False,False,SUCCESS,,,jiwoo_native,none_needed,20230322000906.0,13361.0,180.0,410.0,0.0135,0.0307,0.0452,1.0,0.0,A,5.0,3.0
096770,2023,2023,SK이노베이션,에너지/화학,A+,A,A+,A+,hyesung_127x3,True,True,True,True,False,False,SUCCESS,,,jiwoo_native,none_needed,20240320000950.0,13044.0,133.0,430.0,0.0102,0.033,0.0503,1.0,0.0,A+,6.0,4.0
096770,2024,2024,SK이노베이션,에너지/화학,A+,A,A+,A+,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024,,,,,,,,,,,,
097950,2022,2022,CJ제일제당,식품,A,A,A,B+,hyesung_127x3,True,True,True,True,False,False,SUCCESS,,,jiwoo_native,none_needed,20230417000204.0,1885.0,17.0,184.0,0.009,0.0976,0.1228,1.0,0.0,A,5.0,3.0
097950,2023,2023,CJ제일제당,식품,A,A,A+,A,hyesung_127x3,True,True,True,True,False,False,SUCCESS,,,jiwoo_native,none_needed,20240319000861.0,1937.0,17.0,216.0,0.0088,0.1115,0.1304,1.0,0.0,A,5.0,3.0
097950,2024,2024,CJ제일제당,식품,A,A,A,B+,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024,,,,,,,,,,,,
105560,2022,2022,KB금융지주,금융지주,A+,A+,A+,A+,hyesung_127x3,True,True,True,False,False,False,FAILED_NO_PASSAGES,,no firm_year_document,jiwoo_native_partial,reprocess_existing_zip,,,,,,,,,,,,
105560,2023,2023,KB금융,금융지주,A+,A+,A+,A+,hyesung_127x3,True,True,True,False,False,False,FAILED_NO_PASSAGES,,no firm_year_document,jiwoo_native_partial,reprocess_existing_zip,,,,,,,,,,,,
105560,2024,2024,KB금융,금융지주,A,A+,A+,A,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024,,,,,,,,,,,,
138930,2022,2022,BNK금융지주,금융지주,A,A,A,A,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe,,,,,,,,,,,,
138930,2023,2023,BNK금융지주,금융지주,A,A,A+,A,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe,,,,,,,,,,,,
138930,2024,2024,BNK금융지주,금융지주,A,A+,A+,A,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024,,,,,,,,,,,,
282330,2022,2022,BGF리테일,유통,A,A,A+,A,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe,,,,,,,,,,,,
282330,2023,2023,BGF리테일,유통,A,A,A+,A,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe,,,,,,,,,,,,
282330,2024,2024,BGF리테일,유통,A,A,A+,A,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024,,,,,,,,,,,,
316140,2022,2022,우리금융지주,금융지주,A,A,A+,B+,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2022 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe,,,,,,,,,,,,
316140,2023,2023,우리금융지주,금융지주,A,A+,A+,A,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_OUT_OF_USER_UNIVERSE,fy2023 not collected in user pipeline,awaiting_refetch_oou,dart_api_refetch_127firm_universe,,,,,,,,,,,,
316140,2024,2024,우리금융지주,금융지주,A,A+,A,B+,hyesung_127x3,True,False,False,False,False,False,FAILED_REFETCH_NEEDED,FAILED_FY2024_NOT_COLLECTED,fy2024 not collected in user pipeline,awaiting_refetch_fy2024,dart_api_refetch_fy2024,,,,,,,,,,,,
000080,2021,2022,하이트진로,,,,,,user_native_extension,True,True,True,True,False,False,EXTENSION_USER_NATIVE,,collected by user pipeline but outside Hyesung 381 universe,jiwoo_native_extension,none_needed_extension,20220317000772.0,2102.0,26.0,222.0,0.0124,0.1056,0.1114,1.0,0.0,B+,4.0,2.0
000100,2021,2022,유한양행,,,,,,user_native_extension,True,True,True,True,False,False,EXTENSION_USER_NATIVE,,collected by user pipeline but outside Hyesung 381 universe,jiwoo_native_extension,none_needed_extension,20220310001178.0,993.0,7.0,110.0,0.007,0.1108,0.127,1.0,0.0,B+,4.0,2.0
000120,2021,2022,CJ대한통운,,,,,,user_native_extension,True,True,True,True,False,False,EXTENSION_USER_NATIVE,,collected by user pipeline but outside Hyesung 381 universe,jiwoo_native_extension,none_needed_extension,20220318000927.0,1601.0,13.0,148.0,0.0081,0.0924,0.0981,1.0,0.0,A,5.0,3.0
000150,2021,2022,두산,,,,,,user_native_extension,True,True,True,False,False,False,EXTENSION_USER_NATIVE,,collected by user pipeline but outside Hyesung 381 universe,jiwoo_native_extension,none_needed_extension,,,,,,,,,,,,
